,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(47.9k Reviews),Public,"Mumbai,Maharashtra + 268 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.2,(31.6k Reviews),Public,Dublin + 140 more,33 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(28.8k Reviews),Private,Teaneck. New Jersey. + 95 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(34.1k Reviews),Public,"Mumbai,Maharashtra + 1025 more",28 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,(38.8k Reviews),Public,"Mumbai,Maharashtra + 1187 more",28 years old,1 Lakh+ Employees (India)
5,Wipro,3.9,(27.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 228 more",77 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,(27.4k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 121 more",41 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(23.4k Reviews),Public,Paris + 76 more,55 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.8,(21.2k Reviews),Public,"Pune,Maharashtra + 212 more",36 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,(20.5k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
10,HCL Technologies,3.9,(17.9k Reviews),Public,Noida + 139 more,31 years old,1 Lakh+ Employees (India)
11,Amazon,4.3,(17.4k Reviews),Public,"Seattle,Washington + 369 more",28 years old,1 Lakh+ Employees (India)
12,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1052 more",29 years old,1 Lakh+ Employees (India)
13,IBM,4.2,(21.1k Reviews),Public,"Armonk,New York + 117 more",111 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.1,(15.1k Reviews),Public,"Fremont,California + 67 more",39 years old,10k-50k Employees (India)
15,Larsen & Toubro ...,4.1,(24.3k Reviews),Public,"Mumbai,Maharashtra + 518 more",84 years old,10k-50k Employees (India)
16,Reliance jio,4.0,(14.6k Reviews),Public,"Navi Mumbai,Maharashtra + 946 more",15 years old,50k-1 Lakh Employees (India)
17,Vodafone Idea,4.2,(13.8k Reviews),Public,"Gandhinagar,Gujrat + 558 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(13.1k Reviews),Private,"Ahmedabad,Gujrat + 761 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(14.1k Reviews),Private,Paris + 120 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(13.4k Reviews),Public,"Mumbai,Maharashtra + 467 more",19 years old,50k-1 Lakh Employees (India)
21,Reliance Industr...,4.1,(42.3k Reviews),Public,"Navi Mumbai,Maharashtra + 464 more",49 years old,1 Lakh+ Employees (India)
22,Bharti Airtel,4.1,(12.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 501 more",27 years old,10k-50k Employees (India)
23,Deloitte,4.1,(10k Reviews),Private,"New York,New York + 131 more",177 years old,50k-1 Lakh Employees (India)
24,Tata Motors,4.0,(12.2k Reviews),Public,"Pune,Maharashtra + 386 more",77 years old,10k-50k Employees (India)
25,Reliance Retail,4.1,(15k Reviews),Private,"Navi Mumbai,Maharashtra + 617 more",16 years old,1 Lakh+ Employees (India)
26,WNS,3.7,(6.8k Reviews),Private,"Mumbai,Maharashtra + 22 more",26 years old,10k-50k Employees (India)
27,Mahindra & Mahin...,3.9,(38.7k Reviews),Public,"Mumbai,Maharashtra + 405 more",77 years old,1 Lakh+ Employees (India)
28,IndusInd Bank,3.8,(6.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 544 more",28 years old,10k-50k Employees (India)
29,Flipkart,4.2,(11k Reviews),Public,"Bangalore,Karnataka + 423 more",15 years old,50k-1 Lakh Employees (India)
30,BYJU'S,3.6,(10.9k Reviews),Private,"Bangalore,Karnataka + 177 more",11 years old,1k-5k Employees (India)
31,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 56 more",5 years old,10k-50k Employees (India)
32,Ernst & Young,3.8,(6k Reviews),Private,London + 71 more,20 years old,50k-1 Lakh Employees (India)
33,Hinduja Global S...,4.0,(6.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 73 more",22 years old,10k-50k Employees (India)
34,Maruti Suzuki,4.1,(5.9k Reviews),Public,"New Delhi,Delhi + 373 more",39 years old,10k-50k Employees (India)
35,Infosys BPM,4.0,(5.7k Reviews),"Bangalore/Bengaluru,Karnataka + 46 more",20 years old,10k-50k Employees (India),
36,HSBC,4.1,(5.8k Reviews),Private,"Pune,Maharashtra + 53 more",20 years old,10k-50k Employees (India)
37,Ericsson,4.3,(5.4k Reviews),Private,"Stockholm,Stockholm County + 132 more",146 years old,10k-50k Employees (India)
38,Bajaj Finserv,4.1,(5.1k Reviews),Public,"Pune,Maharashtra + 648 more",15 years old,10k-50k Employees (India)
39,IDFC FIRST Bank,4.0,(5.1k Reviews),Public,"Mumbai,Maharashtra + 377 more",4 years old,10k-50k Employees (India)
40,Conneqt Business...,3.7,(5k Reviews),Private,"Mumbai,Maharashtra + 153 more",20 years old,10k-50k Employees (India)
41,Dr. Reddy's,4.2,(4.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 131 more",36 years old,10k-50k Employees (India)
42,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 49 more",5 years old,5k-10k Employees (India)
43,Mphasis,3.8,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 41 more",24 years old,10k-50k Employees (India)
44,Sutherland Globa...,3.9,(5k Reviews),Private,"Pittsford,New York + 40 more",36 years old,10k-50k Employees (India)
45,Cipla Pharmaceut...,4.1,(4.8k Reviews),Public,"Mumbai,Maharashtra + 186 more",87 years old,10k-50k Employees (India)
46,Jana Small Finan...,3.9,(4.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 305 more",16 years old,10k-50k Employees (India)
47,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 353 more",18 years old,10k-50k Employees (India)
